Folder,# carbons,# hydrogen (top),# hydrogen (bottom),# of methyl (top),# of methyl (bottom),# of ethyl (top),# of ethyl (bottom),Thermal conductivity,Young's modulus,Maximum stress,Strain at maximum stress,Strain at fracture
E4H7-1,8635,327,327,0,0,191,196,19.81891613,779.881841,122.68979,0.2516,0.2711
E4H7-2,8627,324,338,0,0,196,191,19.53524973,779.729184,124.35294,0.2714,0.2731
E4H7-3,8624,313,352,0,0,179,208,18.87559669,776.782507,122.89257,0.2638,0.2694
E4H7-4,8630,313,346,0,0,198,189,19.51290511,769.02314,123.04337,0.2507,0.2669
E4H8-1,8526,400,363,0,0,180,207,18.54225199,762.444134,122.04054,0.264,0.2909
E4H8-2,8529,389,371,0,0,197,190,18.32369237,771.407015,122.11237,0.2678,0.2791
E4H8-3,8530,390,369,0,0,180,207,18.22655514,761.903267,121.40312,0.2452,0.2659
E4H8-4,8524,385,380,0,0,201,186,19.00328836,769.741234,121.96069,0.2529,0.2724
E4H9-1,8438,439,412,0,0,190,197,16.90569611,749.998453,122.60236,0.273,0.2771
E4H9-2,8437,421,431,0,0,190,197,18.25974994,756.782053,121.10921,0.2583,0.2771
E4H9-3,8441,435,413,0,0,185,202,17.98511572,758.658889,119.59516,0.2472,0.2548
E4H9-4,8443,415,431,0,0,192,195,17.93105509,757.365515,121.54474,0.2558,0.2815
E4H10-1,8344,476,469,0,0,179,208,17.00407877,739.528619,121.11574,0.2854,0.2872
E4H10-2,8338,483,468,0,0,209,178,17.512378,743.999955,119.92638,0.2669,0.3024
E4H10-3,8338,448,503,0,0,201,186,17.61449773,748.988306,119.51361,0.2545,0.2701
E4H10-4,8352,484,453,0,0,193,194,17.31661765,737.053374,120.26431,0.2869,0.2916
E5H1-1,9097,52,44,0,0,247,236,23.31796675,836.440304,131.03968,0.2398,0.2506
E5H1-2,9097,37,59,0,0,236,247,23.20516002,836.107217,129.82905,0.2419,0.2602
E5H1-3,9097,48,48,0,0,242,241,23.40918977,834.775531,130.52618,0.2434,0.2536
E5H1-4,9098,50,45,0,0,250,233,22.94964366,836.211639,131.66937,0.2466,0.2516
E5H2-1,9001,97,95,0,0,245,238,22.33935374,822.943294,129.22217,0.2442,0.2524
E5H2-2,9001,92,100,0,0,232,251,22.19654172,823.365792,129.12944,0.2444,0.2514
E5H2-3,9002,98,93,0,0,252,231,21.07518631,817.475723,128.21851,0.2434,0.2551
E5H2-4,9002,103,88,0,0,239,244,21.18623991,824.916112,127.33167,0.2431,0.246
E5H3-1,8905,157,131,0,0,237,246,20.98466596,813.108569,126.87084,0.2423,0.246
E5H3-2,8903,146,144,0,0,260,223,20.89923474,812.643621,127.64912,0.2428,0.2509
E5H3-3,8907,135,151,0,0,256,227,19.86543828,813.416548,126.88443,0.25,0.2608
E5H3-4,8904,165,124,0,0,237,246,20.21564622,812.403291,126.94912,0.2414,0.2481
E5H4-1,8811,192,190,0,0,257,226,20.77120763,799.778726,126.54765,0.2514,0.2677
E5H4-2,8811,189,193,0,0,254,229,19.72751785,801.473782,125.13135,0.2459,0.2603
E5H4-3,8810,185,198,0,0,238,245,19.61311651,797.114933,126.05215,0.2443,0.2552
E5H4-4,8812,192,189,0,0,224,259,20.3167406,803.630522,126.09169,0.2489,0.2741
E5H5-1,8718,234,241,0,0,240,243,18.34251876,792.875513,124.53679,0.2587,0.271
E5H5-2,8716,236,241,0,0,239,244,19.52762435,791.993055,123.35823,0.246,0.2601
E5H5-3,8712,243,238,0,0,234,249,18.94749454,787.522737,123.28109,0.2416,0.2623
E5H5-4,8718,243,232,0,0,243,240,17.67700433,787.438801,123.63811,0.2411,0.244
E5H6-1,8618,270,305,0,0,228,255,18.18173365,781.138658,122.50903,0.2422,0.2759
E5H6-2,8625,294,274,0,0,238,245,17.97815019,781.066739,123.72347,0.2547,0.268
E5H6-3,8624,286,283,0,0,267,216,18.5374173,778.495443,123.11222,0.2512,0.2639
E5H6-4,8616,294,283,0,0,236,247,18.0406548,778.743376,123.55799,0.2487,0.2634
E5H7-1,8526,347,320,0,0,236,247,17.38619937,769.540076,121.93103,0.2552,0.2773
E5H7-2,8527,361,305,0,0,226,257,17.40437945,760.92697,123.688,0.2696,0.2711
E5H7-3,8527,349,317,0,0,231,252,17.14031317,766.897318,122.1536,0.2467,0.2611
E5H7-4,8531,365,297,0,0,232,251,17.12266052,766.59147,122.06449,0.2455,0.2532
E5H8-1,8436,364,393,0,0,238,245,17.05999499,753.525735,120.59585,0.2529,0.273
E5H8-2,8434,381,378,0,0,242,241,16.74404972,762.401028,122.0607,0.2581,0.2588
E5H8-3,8435,419,339,0,0,223,260,16.46074245,757.989115,120.71134,0.2646,0.2653
E5H8-4,8438,375,380,0,0,238,245,17.31425591,750.678309,119.83978,0.247,0.2705
E5H9-1,8337,413,443,0,0,244,239,16.26101673,742.699447,120.38728,0.2559,0.2808
E5H9-2,8341,422,430,0,0,236,247,16.59532543,744.373313,120.20889,0.2587,0.2722
E5H9-3,8342,414,437,0,0,255,228,16.65865447,745.353681,119.95714,0.2614,0.2759
E5H9-4,8344,418,431,0,0,251,232,16.22013277,748.292995,119.56186,0.244,0.2706
E5H10-1,8252,465,476,0,0,249,234,15.29602009,731.919681,120.73228,0.2879,0.29
E5H10-2,8263,466,464,0,0,251,232,15.55942904,738.144233,119.64436,0.249,0.2675
E5H10-3,8249,487,457,0,0,241,242,15.57276521,724.918324,118.30691,0.2559,0.2597
E5H10-4,8256,480,457,0,0,229,254,15.02115962,742.28988,119.79937,0.272,0.291
E6H1-1,9000,53,43,0,0,278,302,20.96802669,826.664768,128.25909,0.2378,0.2576
E6H1-2,9000,50,46,0,0,305,275,20.55221843,819.669885,130.5565,0.2453,0.2504
E6H1-3,9000,43,53,0,0,286,294,19.45686493,819.870758,129.38863,0.2439,0.2573
E6H1-4,9001,41,54,0,0,289,291,20.92319845,822.580911,128.83084,0.2394,0.2499
E6H2-1,8903,89,104,0,0,313,267,19.65247199,812.540486,127.21008,0.2415,0.2507
E6H2-2,8907,92,97,0,0,295,285,19.67244009,812.204114,126.84772,0.2406,0.252
E6H2-3,8903,93,100,0,0,286,294,19.080847,814.026142,127.1324,0.2438,0.2628
E6H2-4,8903,101,92,0,0,296,284,19.51377664,811.450239,127.22629,0.2425,0.2607
E6H3-1,8811,145,140,0,0,285,295,18.64839467,802.742756,125.61341,0.2452,0.2611
E6H3-2,8806,150,140,0,0,314,266,18.71255909,799.363915,123.72637,0.2367,0.2637
E6H3-3,8808,148,140,0,0,293,287,18.80495798,798.822954,125.21109,0.2478,0.259
